LSOA code,lad_code,Year,lsoa_share,predicted_demand_points,latitude,longitude,allocation_tier,capacity_units_per_100
E01012353,E06000005,2026,0.0222562859702234,272.6727477584114,54.53235130769231,-1.5600855144927537,Reserve / spike watch,0.008513954146039338
E01012354,E06000005,2026,0.0236109210414692,289.2690508244609,54.531696473421924,-1.5550816658986175,Reserve / spike watch,0.009032158346714756
E01012355,E06000005,2026,0.0203234907802412,248.9931196294515,54.53012912125,-1.5623573207196029,Routine baseline coverage,0.007774579677037204
E01012356,E06000005,2026,0.0185551154474144,227.32788034760551,54.52044226942567,-1.55639931875,Routine baseline coverage,0.007098102635143616
E01012357,E06000005,2026,0.020831686891973,255.219281100032,54.518067756818176,-1.5486052756916997,Routine baseline coverage,0.00796898580563692
E01012358,E06000005,2026,0.0187146594683902,229.28253291839368,54.51371771585648,-1.556652,Routine baseline coverage,0.00715913485231947
E01012359,E06000005,2026,0.0239045890333207,292.8669223819154,54.51073176764706,-1.5514189752747254,Reserve / spike watch,0.009144498555684399
E01012360,E06000005,2026,0.0099477939257016,121.87533479236008,54.518319255555554,-1.5662742499999998,Routine baseline coverage,0.003805444513562823
E01012361,E06000005,2026,0.0051262375087279,62.80406663704628,54.5145068,-1.575592,Routine baseline coverage,0.001960998845423181
E01012362,E06000005,2026,0.0222289791579295,272.3381985191243,54.5357319,-1.5595518125,Reserve / spike watch,0.008503508155722013
E01012363,E06000005,2026,0.017281922525832,211.72936526656625,54.535687708333334,-1.5660420340909091,Routine baseline coverage,0.006611053440686028
E01012364,E06000005,2026,0.016421894966098,201.192743020862,54.53262552777778,-1.5666346319444444,Routine baseline coverage,0.0062820571644114885
E01012365,E06000005,2026,0.0111643815942055,136.7803509708816,54.53461886153846,-1.5759911477272728,Routine baseline coverage,0.004270839846734663
E01012366,E06000005,2026,0.007330543038586,89.81010198946927,54.53818506085526,-1.507798747159091,Routine baseline coverage,0.0028042373008502096
E01012367,E06000006,2026,0.0180004795141274,355.0173116485186,53.367283821482474,-2.726302955014058,Priority patrol and problem-solving,0.011085086930299595
E01012368,E06000006,2026,0.0134413233283774,265.09863080557864,53.37381527307693,-2.7223119666666666,Reserve / spike watch,0.008277459355257049
E01012369,E06000006,2026,0.0141502163134168,279.079885115925,53.3760358504902,-2.728524307692308,Reserve / spike watch,0.00871401107918609
E01012370,E06000006,2026,0.0171925293597845,339.0823866085656,53.371215824175835,-2.723172591931217,Priority patrol and problem-solving,0.010587533646276738
E01012371,E06000006,2026,0.0060200191975493,118.7307832499161,53.315226583333335,-2.6940189999999995,Routine baseline coverage,0.003707258802440912
E01012372,E06000006,2026,0.0060515740124825,119.35312809125097,53.312623,-2.6972408000000003,Routine baseline coverage,0.003726690944030814
E01012373,E06000006,2026,0.0048250613057893,95.1630367388934,53.319133875000006,-2.709399875,Routine baseline coverage,0.0029713777333943404
E01012374,E06000006,2026,0.004265467340635,84.12635602336651,53.38369961111111,-2.7459038419913417,Routine baseline coverage,0.002626767594284559
E01012375,E06000006,2026,0.0037587166599491,74.131885365407,53.381870571428564,-2.739375708333333,Routine baseline coverage,0.0023146994994883933
E01012376,E06000006,2026,0.0050106276105492,98.82289761075153,53.378240025,-2.751373055555556,Routine baseline coverage,0.0030856535013251032
E01012377,E06000006,2026,0.0160617418878526,316.7802513784437,53.37216265,-2.769123755847953,Priority patrol and problem-solving,0.009891170117948414
E01012378,E06000006,2026,0.0084793097593918,167.23453133855384,53.37304283333333,-2.755594625,Routine baseline coverage,0.0052217434384471
E01012379,E06000006,2026,0.0146291152426855,288.5250451899608,53.36880657019704,-2.757634613360324,Reserve / spike watch,0.009008927459475003
E01012380,E06000006,2026,0.0170304002896796,335.88477031375777,53.36858545833333,-2.7639472,Priority patrol and problem-solving,0.010487691037382273
E01012381,E06000006,2026,0.0176299921723398,347.7103162999762,53.33706436538462,-2.6879568461538463,Priority patrol and problem-solving,0.010856932764347037
E01012382,E06000006,2026,0.0169243882947583,333.7939319330412,53.33987350892857,-2.696365275362319,Priority patrol and problem-solving,0.01042240654435339
E01012383,E06000006,2026,0.0155139751667038,305.976835358325,53.33538840625,-2.7001238190476187,Reserve / spike watch,0.009553843453028558
E01012384,E06000006,2026,0.015864680457156,312.8936760624586,53.331057855714285,-2.691042064137931,Priority patrol and problem-solving,0.009769815401360663
E01012385,E06000006,2026,0.0036457636643317,71.90415199778839,53.330559593749996,-2.645843992063492,Routine baseline coverage,0.0022451405872119406
E01012386,E06000006,2026,0.0038146896626703,75.2358217875108,53.345861408564815,-2.6628404514170043,Routine baseline coverage,0.002349168892396928
E01012387,E06000006,2026,0.0035226146818242,69.47532666190031,53.35279058974359,-2.64384045,Routine baseline coverage,0.002169302764369405
E01012388,E06000006,2026,0.016141396086978,318.3512439518823,53.3653456291866,-2.767762564102564,Priority patrol and problem-solving,0.00994022290684639
E01012389,E06000006,2026,0.0039761927416612,78.4210918733037,53.36781016666667,-2.7778362142857143,Routine baseline coverage,0.002448626002343314
E01012390,E06000006,2026,0.01432361489277,282.4997660939481,53.36799271428571,-2.771967607142857,Reserve / spike watch,0.008820793697072052
E01012391,E06000006,2026,0.0145199922175626,286.37284902275826,53.35419260576923,-2.771662560661764,Reserve / spike watch,0.00894172712635965
E01012392,E06000006,2026,0.0033662710532269,66.39181465465475,53.385308833333326,-2.7156852083333334,Routine baseline coverage,0.002073022956232105
E01012393,E06000006,2026,0.0045187528856427,89.12182034960925,53.389604454545456,-2.7401961846590908,Routine baseline coverage,0.002782746343761528
E01012394,E06000006,2026,0.0122872771622914,242.33777229175112,53.381438724999995,-2.7269918749999995,Routine baseline coverage,0.0075667726170175875
E01012395,E06000006,2026,0.002660654771959,52.47518565404629,53.388835,-2.7276112222222224,Routine baseline coverage,0.0016384890977784537
E01012396,E06000006,2026,0.0182623406950496,360.18191031396753,53.32856483809523,-2.7095797769230767,Priority patrol and problem-solving,0.011246346742957098
E01012397,E06000006,2026,0.0177731236720615,350.533250000356,53.32922029375,-2.7184217588235295,Priority patrol and problem-solving,0.010945076256059812
E01012398,E06000006,2026,0.0111772293203471,220.4446777028521,53.33174170454545,-2.7262745416666663,Routine baseline coverage,0.0068831810040781965
E01012399,E06000006,2026,0.0173191622948422,341.5799247510948,53.326869264880955,-2.7156521565934066,Priority patrol and problem-solving,0.010665516962901828
E01012400,E06000006,2026,0.0095828520950572,188.99932004825317,53.33472866666667,-2.731613,Routine baseline coverage,0.005901328819076318
E01012401,E06000006,2026,0.0080951282650846,159.65745089539035,53.336247666666665,-2.800875,Routine baseline coverage,0.0049851561154224235
E01012402,E06000006,2026,0.017215714639247,339.53966195937664,53.334269294871795,-2.7133416984126986,Priority patrol and problem-solving,0.010601811645823538
E01012403,E06000006,2026,0.0173442755389687,342.0752246907179,53.3331844,-2.706852,Priority patrol and problem-solving,0.010680982245036379
E01012404,E06000006,2026,0.0120707372062463,238.0670286707665,53.338622984848485,-2.710076229166667,Routine baseline coverage,0.007433422600716109
