LSOA code,LSOA_name,longitude,latitude,predicted_demand_points,rolling_3_predicted_demand_points,ridge_predicted_demand_points,recent_12m_mean,uplift_vs_recent_mean,spike_z,allocation_tier,capacity_units_per_100
E01009803,Dudley 036C,-2.0249746291847046,52.450363941847044,11.326783827551791,10.666666666666666,11.326783827551791,13.041666666666666,-0.1314926138618434,-0.20553850914848418,Routine baseline coverage,0.012650436016948083
E01010157,Solihull 010A,-1.8043584742684784,52.44990167539382,11.317444911533922,10.5,11.317444911533922,14.708333333333334,-0.23054198901752376,-0.5030863026693498,Routine baseline coverage,0.012640005751715658
E01009912,Dudley 021B,-2.1584481514952274,52.48575543526235,11.257271116106216,11.333333333333334,11.257271116106216,14.333333333333334,-0.2146089918995664,-0.3994957460625413,Routine baseline coverage,0.012572800024075346
E01010153,Solihull 026C,-1.7442310231773628,52.37976206737614,11.226519924117872,9.0,11.226519924117872,14.041666666666666,-0.20048522795599721,-0.567452948804189,Routine baseline coverage,0.012538455236303626
E01009736,Dudley 034C,-2.060891498953824,52.45702666525974,11.22327467417324,13.666666666666666,11.22327467417324,10.791666666666666,0.03999456440215354,0.05470492441307937,Routine baseline coverage,0.012534830745238146
E01010124,Solihull 003D,-1.76909415,52.50336074444444,11.217877793631288,12.166666666666666,11.217877793631288,10.416666666666666,0.07691626818860375,0.20787159134589775,Routine baseline coverage,0.012528803183219967
E01009707,Coventry 033E,-1.4417117047619046,52.406031854761906,11.161755794129395,13.5,11.161755794129395,13.458333333333334,-0.17064353232475094,-0.25457182974494463,Routine baseline coverage,0.012466122745890975
E01009318,Birmingham 081D,-1.771166772907648,52.456643508257905,11.141397564266953,11.833333333333334,11.141397564266953,11.916666666666666,-0.06505754705452138,-0.09484834781790231,Routine baseline coverage,0.012443385445681654
E01009667,Coventry 041B,-1.5196501812596006,52.383565612288784,11.136808600362828,11.0,11.136808600362828,12.0,-0.07193261663643102,-0.10450284139393004,Routine baseline coverage,0.01243826021374141
E01009238,Birmingham 024B,-1.91404808541744,52.53338346774994,11.084840962586956,9.0,11.084840962586956,17.791666666666668,-0.3769644423838714,-0.5824062533675541,Routine baseline coverage,0.012380219618401673
E01009975,Sandwell 006D,-1.929578469020563,52.54874538210578,11.08301113812408,8.333333333333334,11.08301113812408,16.166666666666668,-0.31445291929129404,-0.49415691536556056,Routine baseline coverage,0.012378175959968504
E01009785,Dudley 008D,-2.135322276538585,52.51455415241086,11.070638538728108,8.5,11.070638538728108,15.333333333333334,-0.27800183443077564,-0.44917627168696367,Routine baseline coverage,0.012364357493985128
E01010079,Sandwell 022B,-2.0387094891753192,52.49915386235171,11.049643055599953,10.666666666666666,11.049643055599953,14.666666666666666,-0.24661524620909414,-0.3518196364936912,Routine baseline coverage,0.012340908470855404
